How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
No answer,Self employed / contractor,Marketing,3-5,Male,26-35,No answer,No answer,Morocco,No,IT / Software / Tech,Low,,,,,,,,,,,,5,5,No answer,3,2,No answer,0,0,1-3,Yes,No answer,1-3,>20,>20,>20,1-3,1-3,3-5,1-3,No answer,No answer,No answer,3-5,1-3,1-3,20%,1-3,No answer,No answer,Satisfied,Very,No answer,Very,No answer,Very,Probably yes,Meets expectations,No answer,Average,Somewhat,
0,Intermediate level staff,Consulting,3-5,Female,18-25,>1000,Urban,India,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,4,2,2,4,5,6,0,0,0,No,0,0,1-3,1-3,5-10,3-5,0,1-3,0,"secure, low-return financial products",0,1-3,1-3,1-3,1-3,50%,3-5,0,Yes,Dissatisfied,Somewhat,Not at all,Slightly,"Yes, frequently",Not at all,Definitely not,Meets expectations,Yes,Low,Somewhat,
>20,Middle management,Education,1-3,Female,36-45,250-1000,Urban,Netherlands,No,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Engineering,1-3,Male,46-55,50-249,Urban,Italy,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Education,0-1,Male,26-35,250-1000,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Sales,0-1,Male,26-35,10-49,Rural,United Kingdom,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Weiblich,18-25,Keine Antwort,Vorstadt / Ballungsraum,Deutschland,Nein,Keine Antwort,Mittel,,,,,,,,,,,,2,Keine Antwort,Keine Antwort,Keine Antwort,3,Keine Antwort,0,0,0,Nein,0,0,0,>20,1-3,1-3,1-3,0,0,Keine Antwort,Keine Antwort,0,1-3,0,1-3,0%,1-3,1-3,Nein,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,
>20,Executive management,Community and Social Services,1-3,Male,26-35,250-1000,Suburban / agglomeration,United Kingdom,Yes,Education,High,,,,,,,,,,,,7,6,6,1,2,7,1-3,1-3,1-3,Yes,1-3,3-5,5-10,5-10,>20,>20,1-3,1-3,0,"secure, low-return financial products",0,1-3,1-3,1-3,1-3,70%,>20,10-20,No,Very satisfied,Extremely,Very,Extremely,"Yes, occasionally",Extremely,Not sure,Exceeds expectations,Yes,Very High,Very,
0,Senior staff,Program and Project Management,3-5,Female,46-55,>1000,Urban,Switzerland,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Administrative,3-5,Female,56-65,250-1000,Suburban / agglomeration,United States,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Research,1-3,Male,18-25,250-1000,Suburban / agglomeration,United States,Yes,Pharma / Life Sciences,Low,,,,,,,,,,,,6,6,5,4,4,6,0,0,3-5,No,0,0,0,0,1-3,1-3,0,0,>20,"secure, low-return financial products",0,1-3,1-3,0,1-3,30%,0,0,Yes,Satisfied,Somewhat,Somewhat,Somewhat,No,Somewhat,Probably yes,Meets expectations,No,Average,No answer,
>20,Executive management,Program and Project Management,3-5,Female,46-55,50-249,Rural,United States,No,Construction,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Business Development,5-10,Female,46-55,10-49,Rural,United Kingdom,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Marketing,1-3,Female,26-35,50-249,Urban,India,Yes,Marketing,Medium,,,,,,,,,,,,5,5,6,5,4,5,3-5,1-3,0,No,1-3,1-3,3-5,5-10,5-10,3-5,1-3,1-3,1-3,"secure, low-return financial products",5-10,3-5,1-3,1-3,5-10,50%,1-3,3-5,Yes,Neutral,Somewhat,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Probably not,Meets expectations,Yes,High,Very,
1-5,Middle management,Finance,5-10,Female,26-35,250-1000,Urban,Canada,Yes,Finance,Medium,,,,,,,,,,,,3,3,2,2,6,2,3-5,10-20,0,No,0,0,1-3,1-3,5-10,3-5,0,3-5,5-10,"riskier, high-return products",1-3,5-10,1-3,5-10,0,50%,3-5,1-3,No,Very dissatisfied,Not at all,Not at all,Not at all,"Yes, frequently",Somewhat,Definitely not,Exceeds expectations,Yes,High,Very,
1-5,Self employed / contractor,Entrepreneurship,1-3,Female,26-35,1-9,Urban,France,Yes,Entertainment,High,,,,,,,,,,,,5,5,6,3,5,6,0,0,1-3,No,1-3,1-3,0,0,1-3,5-10,1-3,1-3,3-5,"riskier, high-return products",0,1-3,1-3,0,0,70%,0,0,No,Satisfied,Somewhat,Very,Somewhat,"Yes, occasionally",Very,Not sure,Meets expectations,No,Average,Somewhat,
1-5,Executive management,Media and Communication,1-3,Male,18-25,250-1000,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Finance,0-1,Male,36-45,50-249,Suburban / agglomeration,United States,No,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Intermediate level staff,Military and Protective Services,5-10,Male,36-45,>1000,Urban,No answer,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Consulting,0-1,Male,56-65,>1000,Rural,France,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Executive management,Human Resources,>10,Male,56-65,>1000,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Human Resources,>10,Male,46-55,>1000,Suburban / agglomeration,United States,Yes,Government,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Community and Social Services,0-1,Female,26-35,10-49,Urban,Switzerland,No,Other,Medium,Average,3,3,4,Average,Average,Low (once a week),Average,Average,High,High,2,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Research,3-5,Female,26-35,50-249,Suburban / agglomeration,Egypt,Yes,Other,Medium,,,,,,,,,,,,7,7,7,4,6,6,0,0,0,No,1-3,1-3,0,0,3-5,1-3,0,0,>20,"secure, low-return financial products",1-3,1-3,1-3,1-3,0,60%,1-3,0,Yes,Satisfied,Somewhat,Very,Very,No answer,Somewhat,Probably yes,Meets expectations,No,Average,No answer,
No answer,Entry level staff,Administrative,1-3,Female,36-45,No answer,No answer,Switzerland,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Administrative,3-5,Female,26-35,50-249,Urban,Switzerland,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Consulting,>10,Female,56-65,>1000,Suburban / agglomeration,United Kingdom,No,No answer,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Administrative,1-3,Female,36-45,50-249,Urban,Brazil,No,Finance,Medium,,,,,,,,,,,,7,7,7,No answer,2,No answer,0,0,3-5,No,0,0,1-3,5-10,10-20,3-5,1-3,3-5,3-5,"secure, low-return financial products",0,No answer,1-3,1-3,No answer,No answer,No answer,0,No answer,Very satisfied,No answer,No answer,Very,No answer,Extremely,Definitely yes,No answer,Yes,Very High,No answer,
5-10,Middle management,Information Technology,3-5,Female,36-45,>1000,Urban,Mexico,Yes,Finance,Low,,,,,,,,,,,,5,5,6,5,4,6,0,0,0,No,0,0,1-3,3-5,0,1-3,0,1-3,0,"secure, low-return financial products",0,0,3-5,1-3,0,80%,0,0,Yes,Satisfied,Very,Very,Very,No,Very,Probably yes,Meets expectations,Yes,High,Very,
1-5,Executive management,Entrepreneurship,>10,Male,36-45,1-9,Urban,Switzerland,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Einstiegsebene,Verwaltung,1-3,Männlich,18-25,250-1000,Städtisch,Deutschland,Nein,Rechtswesen,Mittel,,,,,,,,,,,,4,6,5,6,2,5,1-3,1-3,1-3,Nein,0,0,1-3,5-10,1-3,0,0,1-3,0,"sichere, niedrig verzinste Finanzprodukte",0,0,1-3,1-3,1-3,20%,1-3,0,Nein,Zufrieden,Etwas,Sehr,Etwas,"Ja, gelegentlich",Etwas,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,,Sehr,Hoch
1-5,Senior staff,Marketing,0-1,Female,18-25,250-1000,Urban,Egypt,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,4,1,1,1,7,7,1-3,0,0,No,0,5-10,1-3,1-3,0,1-3,0,1-3,10-20,"secure, low-return financial products",0,0,1-3,3-5,>20,30%,5-10,0,Yes,Very dissatisfied,Somewhat,Not at all,Not at all,"Yes, frequently",Not at all,Probably not,Meets expectations,Yes,Low,Very,
1-5,First-level management,Education,>10,Female,46-55,250-1000,Rural,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Logistics / Supply Chain,3-5,Male,26-35,50-249,Urban,India,Yes,Transportation,Low,,,,,,,,,,,,5,5,6,5,6,6,0,5-10,3-5,No,1-3,1-3,1-3,5-10,>20,3-5,1-3,1-3,1-3,"riskier, high-return products",0,1-3,1-3,5-10,1-3,60%,3-5,1-3,No,Neutral,Somewhat,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,Yes,Average,Somewhat,
>20,Senior staff,Administrative,>10,Male,46-55,>1000,Rural,United States,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Education,5-10,Female,36-45,50-249,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,No answer,No answer,Female,36-45,1-9,Suburban / agglomeration,United States,Yes,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Senior staff,Business Development,5-10,Female,36-45,50-249,Urban,Canada,No,IT / Software / Tech,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Arts and Design,5-10,Male,46-55,>1000,Suburban / agglomeration,United States,No,IT,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Human Resources,3-5,Female,46-55,50-249,Suburban / agglomeration,United States,No,Manufacturing,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Administrative,>10,Male,56-65,250-1000,Suburban / agglomeration,United States,Yes,No answer,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Administrative,1-3,Male,46-55,1-9,Urban,Brazil,No,Marketing,Medium,,,,,,,,,,,,5,6,5,4,1,6,5-10,0,0,No,1-3,1-3,1-3,1-3,3-5,3-5,1-3,3-5,1-3,"secure, low-return financial products",3-5,0,3-5,3-5,1-3,50%,5-10,5-10,No,Dissatisfied,Somewhat,Somewhat,Somewhat,"Yes, frequently",Somewhat,Probably not,Exceeds expectations,No,Average,Very,
0,Senior staff,Arts and Design,>10,Female,36-45,10-49,Urban,Germany,No,IT / Software / Tech,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Engineering,1-3,Male,18-25,10-49,Urban,India,No,IT / Software / Tech,Medium,,,,,,,,,,,,6,5,7,7,1,7,0,No answer,5-10,Yes,1-3,3-5,3-5,0,>20,3-5,3-5,5-10,3-5,"riskier, high-return products",1-3,5-10,10-20,1-3,1-3,40%,5-10,1-3,Yes,Neutral,Very,Extremely,Very,"Yes, occasionally",Somewhat,Definitely yes,Exceeds expectations,Yes,High,Extremely,
10-20,Middle management,Accounting,5-10,Female,26-35,50-249,Suburban / agglomeration,South Africa,Yes,Finance,Medium,,,,,,,,,,,,7,7,7,7,5,7,3-5,5-10,3-5,Yes,0,1-3,5-10,>20,10-20,1-3,0,1-3,3-5,"secure, low-return financial products",1-3,1-3,>20,5-10,>20,80%,1-3,1-3,No,Very satisfied,Extremely,Extremely,Extremely,"Yes, occasionally",Extremely,Definitely yes,Far exceeds expectations,Yes,Very High,Extremely,
0,Middle management,Program and Project Management,1-3,Female,46-55,>1000,Urban,Switzerland,No,Food & Beverage,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No answer,Intermediate level staff,Arts and Design,1-3,Female,No answer,No answer,Rural,No answer,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Information Technology,>10,Male,56-65,250-1000,Suburban / agglomeration,United States,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,No answer,3-5,Female,36-45,50-249,Urban,Switzerland,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Geschäftsführung,Immobilien,5-10,Männlich,46-55,1-9,Städtisch,Schweiz,Nein,Finanzen,Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Business Development,3-5,Male,46-55,1-9,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Consulting,0-1,Male,26-35,>1000,Urban,Germany,No,Finance,Low,,,,,,,,,,,,4,6,6,6,2,5,0,10-20,0,No,0,0,0,0,0,0,0,0,1-3,"secure, low-return financial products",0,0,1-3,0,0,50%,1-3,0,No,Satisfied,Somewhat,Very,Very,No,Very,Definitely yes,Exceeds expectations,No,High,Very,
1-5,Intermediate level staff,Media and Communication,3-5,Female,26-35,1-9,Suburban / agglomeration,France,No,Media,Medium,None,4,4,2,None,Low,High (4-6 days a week),Average,Average,Average,High,6,5,3,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Accounting,1-3,Male,26-35,50-249,Suburban / agglomeration,Kenya,No,Finance,High,,,,,,,,,,,,6,3,6,1,5,7,10-20,>20,5-10,No,3-5,5-10,1-3,0,>20,5-10,1-3,1-3,0,"riskier, high-return products",1-3,>20,3-5,1-3,1-3,20%,>20,>20,Yes,Neutral,Not at all,Very,Not at all,"Yes, frequently",Somewhat,Probably yes,Below expectations,Yes,,Somewhat,Average
1-5,First-level management,Product Management,0-1,Female,26-35,>1000,Suburban / agglomeration,South Africa,Yes,Finance,High,,,,,,,,,,,,3,2,3,4,5,6,0,3-5,0,Yes,0,1-3,0,5-10,>20,5-10,1-3,5-10,1-3,"riskier, high-return products",3-5,3-5,3-5,3-5,5-10,70%,5-10,3-5,Yes,Dissatisfied,Somewhat,Very,Slightly,"Yes, frequently",Not at all,Not sure,Exceeds expectations,Yes,Very low,Extremely,
5-10,Executive management,Sales,1-3,Male,46-55,50-249,Suburban / agglomeration,United States,No,Agriculture,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,No answer,No answer,Male,>65,No answer,Rural,United States,No,No answer,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Business Development,0-1,Female,26-35,10-49,Urban,United Kingdom,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Entrepreneurship,0-1,Female,36-45,1-9,Suburban / agglomeration,United States,Yes,IT,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Research,0-1,Male,26-35,>1000,Suburban / agglomeration,Switzerland,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Research,1-3,Female,26-35,10-49,Suburban / agglomeration,Switzerland,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Arts and Design,0-1,Male,26-35,1-9,Urban,Brazil,Yes,Other,Low,,,,,,,,,,,,5,No answer,No answer,4,3,No answer,1-3,0,>20,Yes,1-3,1-3,1-3,No answer,1-3,No answer,3-5,1-3,1-3,"riskier, high-return products",No answer,>20,5-10,1-3,0,60%,>20,1-3,No answer,Dissatisfied,Very,No answer,Very,"Yes, occasionally",No answer,No answer,Exceeds expectations,No answer,High,No answer,
>20,Mittleres Management,Betrieb,1-3,Männlich,18-25,>1000,Ländlich,Deutschland,Nein,Andere,Niedrig,,,,,,,,,,,,5,6,7,3,1,7,1-3,0,0,Ja,0,0,5-10,1-3,>20,10-20,1-3,5-10,1-3,"sichere, niedrig verzinste Finanzprodukte",3-5,0,0,1-3,0,80%,>20,0,Nein,Zufrieden,Sehr,Extrem,Sehr,Nein,Sehr,Wahrscheinlich ja,Übertrifft die Erwartungen,Ja,,Sehr,Hoch
1-5,Executive management,Human Resources,3-5,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Consulting,>10,Female,>65,50-249,Suburban / agglomeration,Portugal,No,Government / Public Administration,Medium,,,,,,,,,,,,6,6,5,7,1,6,0,0,1-3,No,1-3,0,0,0,1-3,0,0,1-3,0,"secure, low-return financial products",0,1-3,0,1-3,1-3,10%,1-3,1-3,Yes,Satisfied,Very,Very,Somewhat,No,Very,Probably yes,Meets expectations,Yes,High,Slightly,
5-10,Executive management,Administrative,0-1,Male,46-55,>1000,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Healthcare Services,1-3,Female,26-35,50-249,Suburban / agglomeration,South Africa,Yes,Health Care,Medium,,,,,,,,,,,,6,6,5,6,5,6,1-3,1-3,0,No,0,0,1-3,5-10,3-5,1-3,1-3,1-3,0,"secure, low-return financial products",0,0,1-3,1-3,0,60%,10-20,5-10,No,Satisfied,Extremely,Somewhat,Very,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,Yes,Average,Very,
0,Einstiegsebene,Personalwesen,1-3,Männlich,18-25,250-1000,Städtisch,Deutschland,Nein,Rechtswesen,Niedrig,,,,,,,,,,,,5,6,5,6,2,3,0,1-3,1-3,Nein,0,0,1-3,>20,1-3,1-3,0,1-3,0,"sichere, niedrig verzinste Finanzprodukte",0,0,0,0,5-10,20%,1-3,0,Nein,Zufrieden,Etwas,Sehr,Etwas,"Ja, gelegentlich",Etwas,Auf jeden Fall,Entspricht den Erwartungen,Nein,,Sehr,Durchschnittlich
No answer,Entry level staff,Legal,1-3,Female,No answer,No answer,Suburban / agglomeration,Switzerland,No,No answer,Medium,High,4,1,5,Average,High,Low (once a week),High,High,High,High,5,6,5,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Accounting,0-1,Male,>65,1-9,Rural,Argentina,Yes,Agriculture,Low,,,,,,,,,,,,2,3,5,3,2,4,10-20,10-20,1-3,Yes,3-5,3-5,3-5,5-10,3-5,3-5,3-5,5-10,3-5,"riskier, high-return products",0,1-3,10-20,1-3,1-3,20%,1-3,10-20,Yes,Neutral,Slightly,Slightly,Somewhat,"Yes, occasionally",Very,Probably yes,Exceeds expectations,Yes,High,Very,
1-5,First-level management,Marketing,5-10,Male,26-35,50-249,Urban,Switzerland,No,Marketing,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Arts and Design,1-3,Female,26-35,1-9,Rural,Ireland,Yes,Media,Medium,,,,,,,,,,,,6,3,No answer,4,5,6,1-3,0,0,No,1-3,1-3,1-3,3-5,5-10,3-5,1-3,1-3,5-10,"secure, low-return financial products",3-5,0,0,0,3-5,20%,1-3,1-3,Yes,Satisfied,Extremely,No answer,Extremely,"Yes, occasionally",Somewhat,Not sure,Meets expectations,No,Average,No answer,
>20,Executive management,Engineering,1-3,Male,36-45,10-49,Suburban / agglomeration,United States,No,IT,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Middle management,Administrative,5-10,Male,>65,>1000,Suburban / agglomeration,United States,No,Government,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Executive management,Operations,3-5,Male,36-45,250-1000,Suburban / agglomeration,Switzerland,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Marketing,5-10,Male,46-55,50-249,Rural,United States,No,Agriculture,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Healthcare Services,>10,Female,36-45,1-9,Suburban / agglomeration,South Africa,No,Health Care,Low,,,,,,,,,,,,7,7,5,7,1,7,0,0,1-3,Yes,1-3,1-3,0,0,5-10,1-3,3-5,3-5,5-10,"secure, low-return financial products",0,1-3,0,1-3,1-3,0%,1-3,1-3,Yes,Neutral,Extremely,Very,Extremely,"Yes, occasionally",Very,Definitely yes,Exceeds expectations,No,,Very,High
1-5,Senior staff,Community and Social Services,1-3,Male,36-45,250-1000,Urban,China,No,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Administrative,1-3,Female,26-35,>1000,Suburban / agglomeration,Luxembourg,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Consulting,5-10,Female,26-35,>1000,Suburban / agglomeration,Portugal,No,IT / Software / Tech,Low,,,,,,,,,,,,3,3,3,4,1,3,5-10,0,0,No,0,1-3,0,0,1-3,0,0,1-3,1-3,"secure, low-return financial products",0,0,0,1-3,0,60%,1-3,0,No,Dissatisfied,Slightly,Slightly,Not at all,"Yes, frequently",Slightly,Probably not,Much below expectations,Yes,Low,Somewhat,
0,Senior staff,Consulting,1-3,Female,36-45,>1000,Urban,Switzerland,No,Pharma,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Healthcare Services,1-3,Male,18-25,50-249,Urban,Egypt,Yes,Health Care,High,,,,,,,,,,,,6,5,5,3,7,7,0,0,5-10,No,0,1-3,0,0,0,1-3,0,0,5-10,"secure, low-return financial products",0,5-10,1-3,0,5-10,60%,0,0,No,Satisfied,Extremely,Somewhat,Extremely,No,Somewhat,Probably yes,Exceeds expectations,No,High,Somewhat,
10-20,First-level management,Healthcare Services,3-5,Female,36-45,>1000,Suburban / agglomeration,United States,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Information Technology,5-10,Male,46-55,>1000,Suburban / agglomeration,United States,No,Health Care,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
